a bit	một chút, một tí
in front	ở phía trước
in general	nói chung, đại khái
in memory of	sự tưởng nhớ
in order to	hợp lệ
in public	giữa công chúng, công khai
in spite of	mặc dù, bất chấp
in the end	cuối cùng, về sau
inability	sự bất lực, bất tài
inch	insơ
incident	việc xảy ra, việc có liên quan
include	bao gồm, tính cả
including	bao gồm, kể cả
income	lợi tức, thu nhập
increase	tăng, tăng thêm; sự tăng, sự tăng thêm
increasingly	tăng thêm
indeed	thật vậy, quả thật
independence	sự độc lập, nền độc lập
independent	độc lập
independently	độc lập
index	chỉ số, sự biểu thị
indicate	chỉ, cho biết; biểu thị, trình bày ngắn gọn
indication	sự chỉ, sự biểu thị, sự biểu lộ
indirect	gián tiếp
indirectly	gián tiếp
individual	riêng, riêng biệt; cá nhân
indoor	trong nhà
indoors	ở trong nhà
industrial	công nghiệp, kỹ nghệ
industry	công nghiệp, kỹ nghệ
inevitable	không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe
inevitably	chắc chắn
infect	nhiễm, tiêm nhiễm, đầu độc, lan truyền
infected	bị nhiễm, bị đầu độc
infection	sự nhiễm, sự đầu độc
infectious	lây, nhiễm
influence	sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
inform	báo cho biết, cung cấp tin tức
informal	không chính thức, không nghi thức
information	tin tức, tài liệu, kiến thức
ingredient	phần hợp thành, thành phần
initial	ban đầu, lúc đầu; chữ đầu
initially	vào lúc ban đầu, ban đầu
initiative	bước đầu, sự khởi đầu
injure	làm tổn thương, làm hại, xúc phạm
injured	bị tổn thương, bị xúc phạm
injury	sự làm tổn thương, làm hại; điều hại, điều tổn hại
ink	mực
inner	ở trong, nội bộ; thân cận
innocent	vô tội, trong trắng, ngây thơ
insect	sâu bọ, côn trùng
insert	chèn vào, lồng vào
inside	mặt trong, phía, phần trong; ở trong, nội bộ
insist	cứ nhất định, cứ khăng khăng
install	đặt
instance	thí dị, ví dụ; trường hợp cá biệt
instead	để thay thế
instead of	thay cho
institute	viện, học viện
institution	sự thành lập, lập; cơ quan, trụ sở
instruction	sự dạy, tài liệu cung cấp
instrument	dụng cụ âm nhạc khí
insult	lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
insulting	lăng mạ, xỉ nhục
insurance	sự bảo hiểm
intelligence	sự hiểu biết, trí thông minh
intelligent	thông minh, sáng trí
intend	ý định, có ý định
intended	có ý định, có dụng ý
intention	ý định, mục đích
interest	sự thích thú, sự quan tâm, chú ý; làm quan tâm, làm chú ý
interested	có thích thú, có quan tâm, có chú ý
interesting	làm thích thú, làm quan tâm, làm chú ý
interior	phần trong, phía trong; ở trong, ở phía trong
internal	ở trong, bên trong, nội địa
international	quốc tế
internet	liên mạng
interpret	giải thích
interpretation	sự giải thích
interrupt	làm gián đoạn, ngắt lời
interruption	sự gián đoạn, sự ngắt lời
interval	khoảng , khoảng cách
interview	cuộc phỏng vấn, sự gặp mặt; phỏng vấn, nói chuyện riêng
into	vào, vào trong
introduce	giới thiệu
introduction	sự giới thiệu, lời giới thiệu
invent	phát minh, sáng chế
invention	sự phát minh, sự sáng chế
invest	đầu tư
investigate	điều tra, nghiên cứu
investigation	sự điều tra, nghiên cứu
investment	sự đầu tư, vốn đầu tư
invitation	lời mời, sự mời
invite	mời
involve	bao gồm, bao hàm; thu hút, dồn tâm trí
involvement	sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào
iron	sắt; bọc sắt
irritate	làm phát cáu, chọc tức
irritated	tức giận, cáu tiết
irritating	làm phát cáu, chọc tức
island	hòn đảo
issue	sự phát ra, sự phát sinh; phát hành, đưa ra
it	cái đó, điều đó, con vật đó
item	tin tức; khoản.., món..., tiết mục
its	của cái đó, của điều đó, của con vật đó; cái của điều đó, cái của con vật đó
itself	chính cái đó, chính điều đó, chính con vật đó
jacket	áo vét
jam	mứt
january	tháng giêng
jealous	ghen,, ghen tị
jeans	quần bò, quần zin
jelly	thạch
jewellery	nữ trang, kim hoàn
job	việc, việc làm
join	gia nhập, tham gia; nối, chắp, ghép
joint	chung ; chỗ nối, đầu nối
jointly	cùng nhau, cùng chung
joke	trò cười, lời nói đùa; nói đùa, giễu cợt
journalist	nhà báo
journey	cuộc hành trình ; quãng đường, chặng đường đi
joy	niềm vui, sự vui mừng
judge	xét xử, phân xử; quan tòa, thẩm phán
judgement	sự xét xử
juice	nước ép
july	tháng 7
jump	nhảy; sự nhảy, bước nhảy
june	tháng 6
junior	trẻ hơn, ít tuổi hơn; người ít tuổi hơn
just	đúng, vừa đủ; vừa mới, chỉ
justice	sự công bằng
justified	hợp lý, được chứng minh là đúng
justify	bào chữa, biện hộ
keen	sắc, bén
keen on	say mê, ưa thích
keep	giữ, giữ lại
key	chìa khóa, khóa, thuộc
keyboard	bàn phím
kick	đá; cú đá
kid	con dê non
kill	giết, tiêu diệt
killing	sự giết chóc, sự tàn sát
kilogram	kilôgam
kilometre	kilômet
kind	loại, giống; tử tế, có lòng tốt
kindly	tử tế, tốt bụng
kindness	sự tử tế, lòng tốt
king	vua, quốc vương
kiss	hôn, cái hôn
kitchen	bếp
knee	đầu gối
knife	đan, thêu
knitted	được đan, được thêu
knitting	việc đan; hàng dệt kim
knock	đánh, đập; cú đánh
knot	cái nơ; điểm nút, điểm trung tâm
know	biết
knowledge	sự hiểu biết, tri thức
label	nhãn, mác; dán nhãn, ghi mác
laboratory, lab	phòng thí nghiệm
labour	lao động; công việc
lack	sự thiếu; thiếu
lacking	ngu đần, ngây ngô
lady	người yêu, vợ, quý bà, tiểu thư
lake	hồ
lamp	đèn
land	đất, đất canh tác, đất đai
landscape	phong cảnh
lane	đường nhỏ
language	ngôn ngữ
large	rộng, lớn, to
largely	phong phú, ở mức độ lớn
last	lầm cuối, sau cùng; người cuối cùng; cuối cùng, rốt hết;
late	trễ, muộn
later	chậm hơn
latest	muộn nhất, chậm nhất, gần đây nhất
latter	sau cùng, gần đây, mới đây
laugh	cười; tiếng cười
launch	hạ thủy ; khai trương; sự hạ thủy, buổi giới thiệu sản phầm
law	luật
lawyer	luật sư
lay	xếp, đặt, bố trí
layer	lớp
lazy	lười biếng
lead	lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn
leader	người lãnh đạo, lãnh tụ
leading	lãnh đạo, dẫn đầu
leaf	lá cây, lá
league	liên minh, liên hoàn
lean	nghiêng, dựa, ỷ vào
learn	học, nghiên cứu
least	tối thiểu; ít nhất
leather	da thuộc
leave	bỏ đi, rời đi, để lại
leave out	bỏ quên, bỏ sót
lecture	bài diễn thuyết, bài thuyết trình, bài nói chuyện
left	bên trái; về phía trái
leg	chân
legal	hợp pháp
legally	hợp pháp
lemon	quả chanh
lend	cho vay, cho mượn
length	chiều dài, độ dài
less	nhỏ bé, ít hơn; số lượng ít hơn
lesson	bài học
let	cho phép, để cho
letter	thư; chữ cái, mẫu tự
level	trình độ, cấp, vị trí; bằng, ngang bằng
library	thư viện
licence	bằng, chứng chỉ, bằng cử nhân; sự cho phép
license	cấp chứng chỉ, cấp bằng, cho phép
lid	nắp, vung
lie	nói dối; lời nói dối, sự dối trá
life	đời, sự sống
lift	giơ lên, nhấc lên; sự nâng, sự nhấc lên
light	ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng
lightly	nhẹ nhàng
like	giống như; thích; như
likely	có thể đúng, có thể xảy ra, có khả năng; có thể, chắc vậy
limit	giới hạn, ranh giới; giới hạn, hạn chế
limited	hạn chế, có giới hạn
line	dây, đường, tuyến
link	mắt xích, mối liên lạc; liên kết, kết nối
lip	môi
liquid	chất lỏng; lỏng, êm ái, du dương, không vững
list	danh sách; ghi vào danh sách
listen	nghe, lắng nghe
literature	văn chương, văn học
litre	lít
little	nhỏ, bé, chút ít; không nhiều; một chút
live	sống, hoạt động
lively	sống, sinh động
living	sống, đang sống
load	gánh nặng, vật nặng; chất, chở
loan	sự vay mượn
local	địa phương, bộ phận, cục bộ
locally	có tính chất địa phương, cục bộ
locate	xác định vị trí, định vị
located	định vị
location	vị trí, sự định vị
lock	khóa; khóa
logic	lô gic
logical	hợp lý, hợp logic
lonely	cô đơn, bơ vơ
long	dài, xa; lâu
look	nhìn; cái nhìn
look after	trông nom, chăm sóc
look at	nhìn, ngắm, xem
look for	tìm kiếm
look forward to	mong đợi cách hân
loosely	lỏng lẻo
lord	chúa, vua
lorry	xe tải
lose	mất, thua, lạc
loss	sự mất, sự thua
lost	thua, mất
lot	số lượng lớn; rất nhiều
loud	to, inh ỏi, ầm ĩ; to, lớn
loudly	ầm ĩ, inh ỏi
love	tình yêu, lòng yêu thương; yêu, thích
lovely	đẹp, xinh xắn, có duyên
lover	người yêu, người tình
low	thấp, bé, lùn
loyal	trung thành, trung kiên
luck	may mắn, vận may
lucky	gặp may, gặp may mắn, hạnh phúc
luggage	hành lý
lump	cục, tảng, miếng; cái bướu
lunch	bữa ăn trưa
lung	phổi
machine	máy, máy móc
machinery	máy móc, thiết bị
mad	điên, mất trí; bực điên người
magazine	tạp chí
magic	ma thuật, ảo thuật;  ma thuật, ảo thuật
mail	thư từ, bưu kiện; gửi qua bưu điện
main	chính, chủ yếu, trọng yếu nhất
mainly	chính, chủ yếu, phần lớn
maintain	giữ gìn, duy trì, bảo vệ
major	lớn, nhiều hơn, trọng đại, chủ yếu
majority	phần lớn, đa số, ưu thế
make	làm, chế tạo; sự chế tạo
make fun of	đùa cợt, chế giễu, chế nhạo
make sth up	làm thành, cấu thành, gộp thành
make sure	chắc chắn, làm cho chắc chắn
make-up	đồ hóa trang, son phấn
male	trai, trống, đực; con trai, đàn ông, con trống, đực
mall	búa
man	con người; đàn ông
manage	quản lý, trông nom, điều khiển
management	sự quản lý, sự trông nom, sự điều khiển
manager	người quản lý, giám đốc
manner	cách, lối, kiểu; dáng, vẻ, thái độ
manufacturer	người chế tạo, người sản xuất
manufacturing	sự sản xuất, sự chế tạo
many	nhiều
map	bản đồ
march	tháng ba
mark	dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
market	chợ, thị trường
marketing	ma-kết-tinh
marriage	sự cưới xin, sự kết hôn, lễ cưới
married	cưới, kết hôn
marry	cưới
mass	khối, khối lượng; quần chúng, đại chúng
massive	to lớn, đồ sộ
master	chủ, chủ nhân, thầy giáo, thạc sĩ
match	trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được
matching	tính địch thù, thi đấu
mate	bạn, bạn nghề; giao phối
material	nguyên vật liệu; vật chất, hữu hình
mathematics	toán học, môn toán
matter	chất, vật chất; có ý nghĩa, có tính chất quan trọng
maximum	cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ
may	tháng 5
may modal	có thể, có lẽ
maybe	có thể, có lẽ
mayor	thị trưởng
me	tôi, tao, tớ
meal	bữa ăn
mean	nghĩa, có nghĩa là
meaning	ý, ý nghĩa
means	của cải, tài sản, phương tiện
meanwhile	trong lúc đó, trong lúc ấy
measure	đo, đo lường; sự đo lường, đơn vị đo lường
measurement	sự đo lường, phép đo
meat	thịt
media	phương tiện truyền thông đại chúng
medical	y học
medicine	y học, y khoa; thuốc
medium	trung bình, trung, vừa; sự trung gian, sự môi giới
meet	gặp, gặp gỡ
meeting	cuộc mít tinh, cuộc biểu tình
melt	tan ra, chảy ra; làm tan chảy ra
member	thành viên, hội viên
membership	tư cách hội viên, địa vị hội viên
memory	bộ nhớ, trí nhớ, kỉ niệm
mental	trí tuệ, trí óc; mất trí
mentally	về mặt tinh thần
mention	kể ra, nói đến, đề cập
menu	thực đơn
mere	chỉ là
merely	chỉ, đơn thuần
mess	tình trạng bừa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
message	tin nhắn, thư tín, điện thông báo, thông điệp
metal	kim loại
method	phương pháp, cách thức
metre	mét
mid- combining form	tiền tố: một nửa
midday	trưa, buổi trưa
middle	giữa, ở giữa
midnight	nửa đêm, 12h đêm
might modal	qk. may có thể, có lẽ
mild	nhẹ, êm dịu, ôn hòa
mile	dặm
military	quân đội, quân sự
milk	sữa
milligram	mi-li-gam
millimetre	mi-li-met
mind	tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm
mine	của tôi
mineral	công nhân, thợ mỏ; khoáng
minimum	tối thiểu; số lượng tối thiểu, mức tối thiểu
minister	bộ trưởng
ministry	bộ
minor	nhỏ hơn, thứ yếu, không quan trọng
minority	phần ít, thiểu số
minute	phút
mirror	gương
miss	lỡ, trượt; sự trượt, sự thiếu vắng
missing	vắng, thiếu, thất lạc
mistake	lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
mistaken	sai lầm, hiểu lầm
mix	pha, trộn lẫn; sự pha trộn
mixed	lẫn lộn, pha trộn
mixture	sự pha trộn, sự hỗn hợp
mobile	chuyển động, di động
mobile phone	điện thoại đi động
model	mẫu, kiểu mẫu
modern	hiện đại, tân tiến
moment	chốc, lát
monday	thứ 2
money	tiền
monitor	lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
month	tháng
mood	lối, thức, điệu
moon	mặt trăng
moral	đạo đức, luân lý, phẩm hạnh; có đạo đứcmorally adv. có đạo đức
more	hơn, nhiều hơn
moreover	hơn nữa, ngoài ra, vả lại
morning	buổi sáng
most	lớn nhất, nhiều nhất; nhất, hơn cả
mostly	hầu hết, chủ yếu là
mother	mẹ
motion	sự chuyển động, sụ di động
motor	động cơ mô tô
motorcycle	xe mô tô
mount	leo, trèo; núi
mountain	núi
mouse	chuột
mouth	miệng
move	di chuyển, chuyển động; sự di chuyển, sự chuyển động
movement	sự chuyển động, sự hoạt động; cử động, động tác
movie	phim xi nê
movie theater	rạp chiếu phim
moving	động, hoạt động
much	nhiều, lắm
mud	bùn
multiply	nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
mum	mẹ
murder	tội giết người, tội ám sát; giết người, ám sát
muscle	cơ, bắp thịt
museum	bảo tàng
music	nhạc, âm nhạc
musical	nhạc, âm nhạc; du dương, êm ái
musician	nhạc sĩ
must modal	phải, cần, nên làm
my	của tôi
myself	tự tôi, chính tôi
mysterious	thần bí, huyền bí, khó hiểu
mystery	điều huyền bí, điều thần bí
nail	móng  móng vuốt
naked	trần, khỏa thân, trơ trụi
name	tên; đặt tên, gọi tên
narrow	hẹp, chật hẹp
nation	dân tộc, quốc gia
national	quốc gia, dân tộc
natural	tự nhiên, thiên nhiên
naturally	vốn, tự nhiên, đương nhiên
nature	tự nhiên, thiên nhiên
navy	hải quân
near	gần, cận; ở gần
nearby	gần
nearly	gần, sắp, suýt
neat	sạch, ngăn nắp; rành mạch
neatly	gọn gàng, ngăn nắp
necessarily	tất yếu, nhất thiết
necessary	cần, cần thiết, thiết yếu
neck	cổ
need modal	cần, đòi hỏi; sự cần
needle	cái kim, mũi nhọn
negative	phủ định
neighbour	hàng xóm
neighbourhood	hàng xóm, làng giềng
neither	không này mà cũng không kia
nephew	cháu trai
nerve	khí lực, thần kinh, can đảm
nervous	hoảng sợ, dễ bị kích thích, hay lo lắng
nervously	bồn chồn, lo lắng
nest	tổ, ổ; làm tổ
net	lưới, mạng
network	mạng lưới, hệ thống
never	không bao giờ, không khi nào
nevertheless	tuy nhiên, tuy thế mà
new	mới, mới mẻ, mới lạ
newly	mới
news	tin, tin tức
newspaper	báo
next	sát, gần, bên cạnh; lần sau, tiếp nữa
next to	gần
nice	đẹp, thú vị, dễ chịu
nicely	thú vị, dễ chịu
niece	cháu gái
night	đêm, tối
no exclamation,	không
nobody	không ai, không người nào
noise	tiếng ồn, sự huyên náo
noisily	ồn ào, huyên náo
noisy	ồn ào, huyên náo
none	không ai, không người, vật gì
nonsense	lời nói vô lý, vô nghĩa
nor	cũng không
normal	thường, bình thường; tình trạng bình thường
normally	thông thường, như thường lệ
north	phía bắc, phương bắc
northern	bắc
nose	mũi
not	không
note	lời ghi, lời ghi chép; ghi chú, ghi chép
nothing	không gì, không cái gì
notice	thông báo, yết thị; chú ý, để ý, nhận biết
noticeable	đáng chú ý, đáng để ý
novel	tiểu thuyết, truyện
november	tháng 11
now	bây giờ, hiện giờ, hiện nay
nowhere	không nơi nào, không ở đâu
nuclear	hạt nhân
number	số
nurse	quả hạch; đầu
obey	vâng lời, tuân theo, tuân lệnh
object	vật, vật thể; phản đối, chống lại
objective	mục tiêu, mục đích;  mục tiêu, khách quan
observation	sự quan sát, sự theo dõi
observe	quan sát, theo dõi
obtain	đạt được, giành được
obvious	rõ ràng, rành mạch, hiển nhiên
obviously	một cách rõ ràng, có thể thấy được
occasion	dịp, cơ hội
occasionally	thỉnh thoảng, đôi khi
occupied	đang sử dụng, đầy
occupy	giữ, chiếm lĩnh, chiếm giữ
occur	xảy ra, xảy đến, xuất hiện
ocean	đại dương
odd	kỳ quặc, kỳ cục, lẻ
oddly	kỳ quặc, kỳ cục, lẻ
of	của
of course	dĩ nhiên
off	tắt; khỏi, cách, rời
offence	sự vi phạm, sự phạm tội
offend	xúc phạm, làm bực mình, làm khó chịu
offensive	sự tấn công, cuộc tấn công
offer	biếu, tặng, cho; sự trả giá
office	cơ quan, văn phòng, bộ
officer	viên chức, cảnh sát, sĩ quan
official	chính quyền, văn phòng; viên chức, công chức
officially	một cách trịnh trọng, một cách chính thức
often	thường, hay, luôn
oh exclamation	chao, ôi chao, chà, này..
oil	dầu
ok  exclamation,	đồng ý, tán thành
old	già
old-fashioned	lỗi thời
on	trên, ở trên; tiếp tục, tiếp diễn
on behalf of sb	thay mặt cho ai, nhân danh ai
on board	trên tàu thủy
on purpose	cố tình, cố ý, có chủ tâm
on sb’s behalf	nhân danh cá nhân ai
once	một lần; khi mà, ngay khi, một khi
one number,	một; một người, một vật nào đó
onion	củ hành
only	chỉ có 1, duy nhất; chỉ, mới
onto	về phía trên, lên trên
open	mở, ngỏ; mở, bắt đầu, khai mạc
opening	khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
openly	công khai, thẳng thắn
operate	hoạt động, điều khiển
operation	sự hoạt động, quá trình hoạt động
opinion	ý kiến, quan điểm
opponent	địch thủ, đối thủ, kẻ thù
opportunity	cơ hội, thời cơ
oppose	đối kháng, đối chọi, đối lập; chống đối, phản đối
opposed to	chống lại, phản đối
opposing	tính đối kháng, đối chọi
opposite	đối nhau, ngược nhau; trước mặt, đối diện; điều
opposition	sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối
option	sự lựa chọn
orange	quả cam; có màu da cam
order	thứ, bậc; ra lệnh
ordinary	thường, thông thường
organ	đàn óoc gan
organization	tổ chức, cơ quan; sự tổ chức
organize	tổ chức, thiết lập
organized	có trật tự, ngăn nắp, được sắp xếp, được tổ chức
origin	gốc, nguồn gốc, căn nguyên
original	gốc, nguồn gốc, căn nguyên; nguyên bản
originally	một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên
other	khác
otherwise	khác, cách khác; nếu không thì...; mặt khác
ought to modal	phải, nên, hẳn là
our	của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ours	của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ourselves	bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình
out	ngoài, ở ngoài, ra ngoài
outdoor	ngoài trời, ở ngoài
outdoors	ở ngoài trời, ở ngoài nhà
outer	ở phía ngoài, ở xa hơn
outline	vẽ, phác tảo; đường nét, hình dáng, nét ngoài
output	sự sản xuất; sản phẩm, sản lượng
outside	bề ngoài, bên ngoài; ở ngoài; ngoài
outstanding	nổi bật, đáng chú ý; còn tồn lại
oven	lò
over	bên trên, vượt qua; lên, lên trên
overall	toàn bộ, toàn thể; tất cả, bao gồm
overcome	thắng, chiến thắng, khắc phục, đánh bại
owe	nợ, hàm ơn; có được
own	của chính mình, tự mình; nhận, nhìn nhận
owner	người chủ, chủ nhân
o’clock	đúng giờ
p.m.	quá trưa, chiều, tối
pace	bước chân, bước
pack	gói, bọc; bó, gói
package	gói đồ, bưu kiện; đóng gói, đóng kiện
packaging	bao bì
packet	gói nhỏ
page	trang
pain	sự đau đớn, sự đau khổ
painful	đau đớn, đau khổ
paint	sơn, vôi màu; sơn, quét sơn
painter	họa sĩ
painting	sự sơn; bức họa, bức tranh
pair	đôi, cặp
palace	cung điện, lâu đài
pale	taí, nhợt
pan	xoong, chảo
panel	ván ô , pa nô
pants	quần lót, đùi
paper	giấy
parallel	song song, tương đương
parent	cha, mẹ
park	công viên, vườn hoa; khoanh vùng thành công viên
parliament	nghi viện, quốc hội
part	phần, bộ phận
particular	riêng biệt, cá biệt
particularly	một cách đặc biệt, cá biệt, riêng biệt
partly	đến chừng mực nào đó, phần nào đó
partner	đối tác, cộng sự
partnership	sự chung phần, sự cộng tác
party	tiệc, buổi liên hoan; đảng
pass	qua, vượt qua, ngang qua
passage	sự đi qua, sự trôi qua; hành lang
passenger	hành khách
passing	sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi
passport	hộ chiếu
past	quá khứ, dĩ vãng; quá, qua
path	đường mòn; hướng đi
patience	tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
patient	bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
pattern	mẫu, khuôn mẫu
pause	tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng
pay	trả, thanh toán, nộp; tiền lương
payment	sự trả tiền, số tiền trả, tiền bồi thường
peace	hòa bình, sự hòa thuận
peaceful	hòa bình, thái bình, yên tĩnh
peak	lưỡi trai; đỉnh, chóp
pen	bút
pence	đồng xu
pencil	bút chì
penny	đồng xu
pension	tiền trợ cấp, lương hưu
people	dân tộc, dòng giống; người
pepper	hạt tiêu, cây ớt
per	cho mỗi
per cent	phần trăm
perfect	hoàn hảo
perfectly	một cách hoàn hảo
perform	biểu diễn; làm, thực hiện
performance	sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performer	người biểu diễn, người trình diễn
perhaps	có thể, có lẽ
period	kỳ, thời kỳ, thời gian; thời đại
permanent	lâu dài, vĩnh cửu, thường xuyên
permanently	cách thường xuyên, vĩnh cửu
permission	sự cho phép, giấy phép
permit	cho phép, cho cơ hội
person	con người, người
personal	cá nhân, tư, riêng tư
personality	nhân cách, tính cách; nhân phẩm, cá tính
personally	đích thân, bản thân, về phần rôi, đối với tôi
persuade	thuyết phục
pet	cơn nóng giận; vật cưng, người được yêu thích
petrol	xăng dầu
phase	tuần trăng; giai đoạn, thời kỳ
philosophy	triết học, triết lý
photocopy	bản sao chụp; sao chụp
photograph	ảnh, bức ảnh; chụp ảnh
photographer	thợ chụp ảnh, nhà nhiếp ảnh
photography	thuật chụp ảnh, nghề nhiếp ảnh
phrase	câu; thành ngữ, cụm từ
physical	vật chất;  cơ thể, thân thể
physically	về thân thể, theo luật tự nhiên
physics	vật lý học
piano	đàn pianô, dương cầm
pick	cuốc
pick sth up	cuốc, vỡ, xé
picture	bức vẽ, bức họa
piece	mảnh, mẩu; đồng tiền
pig	con lợn
pile	cọc, chồng, đống, pin; đóng cọc, chất chồng
pill	viên thuốc
pilot	phi công
pin	đinh ghim; ghim., kẹp
pink	màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
pint	panh
pipe	ống dẫn
pitch	sân ; đầu hắc ín
pity	lòng thương hại, điều đáng tiếc, đáng thương
place	nơi, địa điểm; quảng trường
plain	ngay thẳng, đơn giản, chất phác
plan	bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
plane	mặt phẳng, mặt bằng
planet	hành tinh
planning	sự lập kế hoạch, sự quy hoạch
plant	thực vật, sự mọc lên; trồng, gieo
plastic	chất dẻo, làm bằng chất dẻo
plate	bản, tấm kim loại
platform	nền, bục, bệ; thềm, sân ga
play	chơi, đánh; sự vui chơi, trò chơi, trận đấu
player	người chơi 1 trò chơi nào đó
pleasant	vui vẻ, dễ thương; dịu dàng, thân mật
pleasantly	vui vẻ, dễ thương; thân mật
please exclamation,	làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleased	hài lòng
pleasing	mang lại niềm vui thích; dễ chịu
pleasure	niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích
plenty	nhiều ; chỉ sự thừa; sự sung túc, sự p.phú
plot	mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
plug	nút
plus	cộng với ; dấu cộng; cộng, thêm vào
pocket	túi , túi tiền
poem	thi ca; chất thơ
point	mũi nhọn, điểm; vót, làm nhọn, chấm
pointed	nhọn, có đầu nhọn
poison	chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonous	độc, có chất độc, gây chết, bệnh
pole	người ba lan; cực
police	cảnh sát, công an
policy	chính sách
polish	nước bóng, nước láng; đánh bóng, làm cho láng
polite	lễ phép, lịch sự
politely	lễ phép, lịch sự
political	về chính trị, về chính phủ, có tính chính trị
politically	về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt
politician	nhà chính trị, chính khách
politics	họat động chính trị, đời sống chính trị, quan điểm chính trị
pollution	sự ô nhiễm
pool	vũng nước; bể bơi, hồ bơi
poor	nghèo
pop	tiếp bốp, phong cách dân gian hiện đại; nổ bốp
popular	có tính đại chúng,  nhân dân; được nhiều người ưa chuộng
population	dân cư, dân số; mật độ dân số
port	cảng
pose	đưa ra, đề ra, đặt; sự đặt, đề ra
position	vị trí, chỗ
positive	xác thực, rõ ràng, tích cực, lạc quan
possess	có, chiếm hữu
possession	quyền sở hữu, vật sở hữu
possibility	khă năng, triển vọng
possible	có thể, có thể thực hiện
possibly	có lẽ, có thể, có thể chấp nhận được
post	thư, bưu kiện; gửi thư
post office	bưu điện
pot	can, bình, lọ...
potato	khoai tây
potential	tiềm năng; khả năng, tiềm lực
potentially	tiềm năng, tiềm ẩn
pound	pao - đơn vị đo lường
pour	rót, đổ, giội
powder	bột, bụi
power	khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
powerful	hùng mạnh, hùng cường
practical	thực hành; thực tế
practically	về mặt thực hành; thực tế
practice	thực hành, thực tiễn
practise	thực hành, tập luyện
praise	sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
prayer	sự cầu nguyện
precise	rõ ràng, chính xác; tỉ mỉ, kỹ tính
precisely	đúng, chính xác, cần thận
predict	báo trước, tiên đoán, dự báo
prefer	thích hơn
preference	sự thích hơn, sự ưa hơn; cái được ưa thích hơn
pregnant	mang thai; giàu trí tưởng tượng, sáng tạo
premises	biệt thự
preparation	sự sửa soạn, sự chuẩn bị
prepare	sửa soạn, chuẩn bị
prepared	đã được chuẩn bị
presence	sự hiện diện, sự có mặt; người, vât hiện diện
present	có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
presentation	bài thuyết trình, sự trình diện, sự giới thiệu
preserve	bảo quản, giữ gìn
president	hiệu trưởng, chủ tịnh, tổng thống
press	sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure	sức ép, áp lực, áp suất
presumably	có thể được, có lẽ
pretend	giả vờ, giả bộ, làm ra vẻ
pretty	khá, vừa phải; xinh, xinh xắn;, đẹp
prevent	ngăn cản, ngăn chặn, ngăn ngừa
previous	vội vàng, hấp tấp; trước , ưu tiên
previously	trước, trước đây
price	sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
priest	linh mục, thầy tu
primarily	trước hết, đầu tiên
primary	nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học
prime minister	thủ tướng
prince	hoành tử
princess	công chúa
principle	cơ bản, chủ yếu; nguyên lý, nguyên tắc
print	in, xuất bản; sự in ra
printer	máy in, thợ in
printing	sự in, thuật in, kỹ sảo in
prior	trước, ưu tiên
priority	sự ưu tế, quyền ưu tiên
prison	nhà tù
prisoner	tù nhân
